State,Year,Obesity Rate,Poverty Rate,Median Income,Region,Code,Avg_Obesity_Rate
Alabama,2021,39.9,16.3,53990,South,AL,39.13333333333333
Alabama,2022,38.3,16.2,59703,South,AL,39.13333333333333
Alabama,2023,39.2,15.7,62248,South,AL,39.13333333333333
Alaska,2021,33.5,10.8,78437,West,AK,33.6
Alaska,2022,32.1,10.8,88072,West,AK,33.6
Alaska,2023,35.2,10.5,88696,West,AK,33.6
Arizona,2021,31.3,12.9,68967,West,AZ,32.13333333333333
Arizona,2022,33.2,12.5,74355,West,AZ,32.13333333333333
Arizona,2023,31.9,12.6,77158,West,AZ,32.13333333333333
Arkansas,2021,38.7,16.0,52577,South,AR,38.699999999999996
Arkansas,2022,37.4,16.3,55505,South,AR,38.699999999999996
Arkansas,2023,40.0,15.4,58748,South,AR,38.699999999999996
California,2021,27.6,12.3,84831,West,CA,27.8
California,2022,28.1,12.2,91517,West,CA,27.8
California,2023,27.7,12.0,95473,West,CA,27.8
Colorado,2021,25.1,9.7,82228,West,CO,25.0
Colorado,2022,25.0,9.5,89096,West,CO,25.0
Colorado,2023,24.9,9.4,92790,West,CO,25.0
Connecticut,2021,30.4,10.1,83628,Northeast,CT,30.133333333333336
Connecticut,2022,30.6,9.8,88182,Northeast,CT,30.133333333333336
Connecticut,2023,29.4,10.2,91477,Northeast,CT,30.133333333333336
Delaware,2021,33.9,11.5,71636,South,DE,35.833333333333336
Delaware,2022,37.9,10.0,81933,South,DE,35.833333333333336
Delaware,2023,35.7,10.8,81615,South,DE,35.833333333333336
Florida,2022,31.6,12.7,69287,South,FL,30.85
Florida,2023,30.1,12.4,73283,South,FL,30.85
Georgia,2021,33.9,14.2,66507,South,GA,35.300000000000004
Georgia,2022,37.0,12.9,72742,South,GA,35.300000000000004
Georgia,2023,35.0,13.7,74521,South,GA,35.300000000000004
Hawaii,2021,25.0,10.9,85547,West,HI,25.666666666666668
Hawaii,2022,25.9,10.0,93683,West,HI,25.666666666666668
Hawaii,2023,26.1,10.2,96716,West,HI,25.666666666666668
Idaho,2021,31.6,10.8,66318,West,ID,31.933333333333337
Idaho,2022,33.2,10.5,72634,West,ID,31.933333333333337
Idaho,2023,31.0,10.1,74859,West,ID,31.933333333333337
Illinois,2021,34.2,12.1,72215,Midwest,IL,34.53333333333333
Illinois,2022,33.4,11.9,76744,Midwest,IL,34.53333333333333
Illinois,2023,36.0,11.6,80346,Midwest,IL,34.53333333333333
Indiana,2021,36.3,12.1,62723,Midwest,IN,37.266666666666666
Indiana,2022,37.7,12.5,66768,Midwest,IN,37.266666666666666
Indiana,2023,37.8,12.2,69458,Midwest,IN,37.266666666666666
Iowa,2021,36.4,11.0,65645,Midwest,IA,37.199999999999996
Iowa,2022,37.4,11.0,69708,Midwest,IA,37.199999999999996
Iowa,2023,37.8,11.1,71662,Midwest,IA,37.199999999999996
Kansas,2021,36.0,11.6,64128,Midwest,KS,35.86666666666667
Kansas,2022,35.7,11.9,68827,Midwest,KS,35.86666666666667
