State,Year,Obesity Rate,Poverty Rate,Median Income,Region,Code,Avg_Obesity_Rate,Education,Public welfare,Health
Alabama,2021,39.9,16.3,53990,South,AL,39.13333333333333,14253.969000000001,8442.755000000001,614.51
Alabama,2022,38.3,16.2,59703,South,AL,39.13333333333333,15658.141,8993.079,685.689
Alabama,2023,39.2,15.7,62248,South,AL,39.13333333333333,17512.446,10148.028,902.317
Alaska,2021,33.5,10.8,78437,West,AK,33.6,2299.005,2849.705,548.032
Alaska,2022,32.1,10.8,88072,West,AK,33.6,2828.531,3332.06,408.871
Alaska,2023,35.2,10.5,88696,West,AK,33.6,2728.05,3417.971,317.642
Arizona,2021,31.3,12.9,68967,West,AZ,32.13333333333333,15261.364,21136.644,994.086
Arizona,2022,33.2,12.5,74355,West,AZ,32.13333333333333,17286.157,25202.743000000002,1030.053
Arizona,2023,31.9,12.6,77158,West,AZ,32.13333333333333,19192.297,28429.445,967.216
Arkansas,2021,38.7,16.0,52577,South,AR,38.699999999999996,9347.291000000001,7912.728,311.709
Arkansas,2022,37.4,16.3,55505,South,AR,38.699999999999996,10160.849,9491.215,339.95300000000003
Arkansas,2023,40.0,15.4,58748,South,AR,38.699999999999996,10389.893,9692.128,367.118
California,2021,27.6,12.3,84831,West,CA,27.8,113385.225,165107.693,8739.904
California,2022,28.1,12.2,91517,West,CA,27.8,131997.08000000002,186831.04,11906.104
California,2023,27.7,12.0,95473,West,CA,27.8,136786.138,201808.351,12457.005000000001
Colorado,2021,25.1,9.7,82228,West,CO,25.0,13138.558,11915.017,1094.763
Colorado,2022,25.0,9.5,89096,West,CO,25.0,14971.884,13848.645,1375.112
Colorado,2023,24.9,9.4,92790,West,CO,25.0,16321.228000000001,13829.851,1586.3990000000001
Connecticut,2021,30.4,10.1,83628,Northeast,CT,30.133333333333336,8194.812,4844.467000000001,1484.517
Connecticut,2022,30.6,9.8,88182,Northeast,CT,30.133333333333336,9045.013,5530.666,1324.959
Connecticut,2023,29.4,10.2,91477,Northeast,CT,30.133333333333336,8614.649,5684.955,1398.457
Delaware,2021,33.9,11.5,71636,South,DE,35.833333333333336,4093.072,3171.154,609.231
Delaware,2022,37.9,10.0,81933,South,DE,35.833333333333336,3954.37,3499.541,690.46
Delaware,2023,35.7,10.8,81615,South,DE,35.833333333333336,4464.152,3851.044,620.987
Florida,2022,31.6,12.7,69287,South,FL,30.85,36134.286,37309.373,7216.218
Florida,2023,30.1,12.4,73283,South,FL,30.85,40443.045,40344.9,7522.685
Georgia,2021,33.9,14.2,66507,South,GA,35.300000000000004,25938.436,14934.312,2156.881
Georgia,2022,37.0,12.9,72742,South,GA,35.300000000000004,24607.081000000002,17060.991,2329.841
Georgia,2023,35.0,13.7,74521,South,GA,35.300000000000004,25679.987,20767.168,2186.464
Hawaii,2021,25.0,10.9,85547,West,HI,25.666666666666668,3616.893,3542.444,746.97
Hawaii,2022,25.9,10.0,93683,West,HI,25.666666666666668,5227.188,4036.71,736.347
Hawaii,2023,26.1,10.2,96716,West,HI,25.666666666666668,5732.456,4089.1440000000002,716.745
Idaho,2021,31.6,10.8,66318,West,ID,31.933333333333337,3903.751,3754.602,183.562
Idaho,2022,33.2,10.5,72634,West,ID,31.933333333333337,4206.562,4069.998,329.414
Idaho,2023,31.0,10.1,74859,West,ID,31.933333333333337,4894.796,3737.165,252.55
Illinois,2021,34.2,12.1,72215,Midwest,IL,34.53333333333333,26759.895,34728.688,1994.909
Illinois,2022,33.4,11.9,76744,Midwest,IL,34.53333333333333,30535.131,37925.486000000004,2401.902
Illinois,2023,36.0,11.6,80346,Midwest,IL,34.53333333333333,30619.923,43392.783,1767.757
Indiana,2021,36.3,12.1,62723,Midwest,IN,37.266666666666666,17013.044,18237.702,1008.134
Indiana,2022,37.7,12.5,66768,Midwest,IN,37.266666666666666,18582.619,19540.16,878.7090000000001
Indiana,2023,37.8,12.2,69458,Midwest,IN,37.266666666666666,19594.359,20578.516,802.224
